id,name,lat,lon,image
1,Achadinhos,,,Achadinhos.jpeg
2,Agibank,,,Agibank.jpeg
3,Aluga Ibagy,,,Aluga Ibagy.jpeg
4,Amo bijuterias,,,Amo bijuterias.jpeg
5,Banco BMG,,,Banco BMG.jpeg
6,Bazar das chave - Panvel,,,Bazar das chave - Panvel.jpeg
7,Bob's,,,"Bob's.jpeg"
8,Botton Utilidades,,,Botton Utilidades.jpeg
9,Brasil cacau,,,Brasil cacau.jpeg
10,Café do Frank,,,Café do Frank.jpeg
11,carioca calçados,,,carioca calçados.jpeg
12,Carioca cosmeticos,,,Carioca cosmeticos.jpeg
13,Cheirin bão,,,Cheirin bão.jpeg
14,Cia do Homem 1,,,Cia do Homem 1.jpeg
15,Cia do Homem,,,Cia do Homem.jpeg
16,Claro,,,Claro.jpeg
17,Colombo,,,Colombo.jpeg
18,Comer Bem,,,Comer Bem.jpeg
19,Crefisa,,,Crefisa.jpeg
20,Da Praça,,,Da Praça.jpeg
21,Damyller,,,Damyller.jpeg
22,Fasbindrt,,,Fasbindrt.jpeg
23,Floripa implante,,,Floripa implante.jpeg
24,Floripa store,,,Floripa store.jpeg
25,Fuccis Calçados,,,Fuccis Calçados.jpeg
26,Fuccis,,,Fuccis.jpeg
27,IBagyN,,,IBagyN.jpeg
28,Irmãos,,,Irmãos.jpeg
29,JS Store,,,JS Store.jpeg
30,Kotzias,,,Kotzias.jpeg
31,Lojas tudo 10,,,Lojas tudo 10.jpeg
32,Lojas U mi Acessorios,,,Lojas U mi Acessorios.jpeg
33,LuzZu,,,LuzZu.jpeg
34,Magazine Luiza,,,Magazine Luiza.jpeg
35,MC Donald’s,,,MC Donald’s.jpeg
36,Mil Bijus,,,Mil Bijus.jpeg
37,Museu,,,Museu.jpeg
38,Ótica Catarinense,,,Ótica Catarinense.jpeg
39,Ótica Rosangela,,,Ótica Rosangela.jpeg
40,Outlet Brás,,,Outlet Brás.jpeg
41,Panvel,,,Panvel.jpeg
42,Pop Dente,,,Pop Dente.jpeg
43,Preço Popular,,,Preço Popular.jpeg
44,Preço Unico,,,Preço Unico.jpeg
45,Procon,,,Procon.jpeg
46,Restauante Comer bem,,,Restauante Comer bem.jpeg
47,Restaurante Magnolia,,,Restaurante Magnolia.jpeg
48,Restaurante sabor de tempero,,,Restaurante sabor de tempero.jpeg
49,Suiê,,,Suiê.jpeg
50,Tim revenda de chip,,,Tim revenda de chip.jpeg
51,Tim,,,Tim.jpeg
52,Top 1 calçados,,,Top 1 calçados.jpeg
53,Top 1 Company,,,Top 1 Company.jpeg
54,Trid,,,Trid.jpeg
55,Tudo dez,,,Tudo dez.jpeg
56,U mi Acessorios,,,U mi Acessorios.jpeg
57,Vita sucos,,,Vita sucos.jpeg
58,Vonny cosmeticos,,,Vonny cosmeticos.jpeg
59,Ótica Rosangela,,,Ótica Rosangela.jpeg
